"","Country","Year","Homicides","GNIPC","Population","GDPGrowth","Aliens","Pop100k","Aliens100K"
"1","El Salvador",2002,37.0154126586054,2310,5874301,2.34082274762717,9209,58.74301,156.767588177725
"2","El Salvador",2003,36.4383253562647,2470,5900929,2.30003827018754,11757,59.00929,199.239814612242
"3","El Salvador",2004,45.8324607866358,2660,5925089,1.85053558290622,19180,59.25089,323.708217716223
"4","El Salvador",2005,62.2145139314073,2870,5947206,3.56281450102233,42885,59.47206,721.094914149602
"5","El Salvador",2006,64.4283818175496,3040,5967556,3.91194864459077,46314,59.67556,776.096613085826
"6","El Salvador",2007,57.1129742647011,3250,5986414,3.8397651770274,19699,59.86414,329.061772206199
"7","El Salvador",2008,51.6761338514276,3460,6004199,1.27422730111427,27153,60.04199,452.233511913912
"8","El Salvador",2009,70.8661977616502,3390,6021368,-3.13304628167124,27741,60.21368,460.709260752706
"9","El Salvador",2010,64.1182851293663,3450,6038306,1.36478366726975,29911,60.38306,495.354160587423
"10","El Salvador",2011,70.160584694945,3600,6055208,2.21683561040105,27652,60.55208,456.66474215254
"11","El Salvador",2012,41.4706411971838,3730,6072233,1.88095546069935,38976,60.72233,641.872602714685
"12","El Salvador",2013,39.7926054971397,3850,6089644,1.84728673148744,51226,60.89644,841.198598801506
"13","Guatemala",2002,30.8607925826667,1610,12272208,3.86662422580339,8344,122.72208,67.9910249239583
"14","Guatemala",2003,35.124413125107,1680,12573346,2.53079034427716,10355,125.73346,82.3567569046457
"15","Guatemala",2004,36.44140429179,1850,12877711,3.15208189033464,14288,128.77711,110.951395011117
"16","Guatemala",2005,42.1013810404499,1990,13183505,3.26011059925256,25909,131.83505,196.525885946112
"17","Guatemala",2006,45.2853453852117,2140,13490041,5.37977689572502,25144,134.90041,186.389351967129
"18","Guatemala",2007,43.4076434244929,2350,13797629,6.30405662844164,23907,137.97629,173.268900040724
"19","Guatemala",2008,46.1009559647215,2560,14106687,3.28107988988668,33690,141.06687,238.822907178702
"20","Guatemala",2009,46.4508226041798,2590,14418033,0.526043033856809,34992,144.18033,242.696073729336
"21","Guatemala",2010,41.5574968887659,2680,14732261,2.86948749178579,39050,147.32261,265.064541009693
"22","Guatemala",2011,38.9211114978551,2830,15049280,4.16204914263771,41708,150.4928,277.142826766463
"23","Guatemala",2012,34.5742477681431,3070,15368759,2.96985720433338,57486,153.68759,374.04451458963
"24","Guatemala",2013,34.57425,3290,15690793,3.69758564978211,73208,156.90793,466.566603740168
"25","Honduras",2002,55.7744918602032,1130,6499001,3.75433786119939,11295,64.99001,173.795941868604
"26","Honduras",2003,61.4498328422728,1200,6626304,4.54703805165396,16632,66.26304,250.999652294854
"27","Honduras",2004,53.8120491078202,1290,6753352,6.23230296069099,26555,67.53352,393.212141170785
"28","Honduras",2005,46.5586531039706,1390,6880181,6.05059922215976,55756,68.80181,810.385657005244
"29","Honduras",2006,44.3059595067971,1470,7007029,6.56724355177587,33394,70.07029,476.578589870257
"30","Honduras",2007,49.9830325157179,1620,7133737,6.18832716678008,28265,71.33737,396.215896380817
"31","Honduras",2008,60.840973848897,1780,7259470,4.23160011009342,33777,72.5947,465.28190074482
"32","Honduras",2009,70.6842070597458,1840,7383098,-2.43162787988014,32901,73.83098,445.625941847176
"33","Honduras",2010,81.8243416657001,1920,7503875,3.73114034433009,32501,75.03875,433.122886508637
"34","Honduras",2011,91.7865007653855,2090,7621414,3.83569066207508,31189,76.21414,409.228523735884
"35","Honduras",2012,91.0394179400376,2200,7736131,4.12868774866939,50771,77.36131,656.284129625002
"36","Honduras",2013,84.2927313738229,2250,7849059,2.79155975746801,64157,78.49059,817.384606231142
